날짜,시가,고가,저가,종가,거래량,매수_기관합계,매수_기타법인,매수_개인,매수_외국인합계,매도_기관합계,매도_기타법인,매도_개인,매도_외국인합계,전체,predictable
2023-03-13,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-14,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-15,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-16,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-17,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-20,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-21,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-22,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-23,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-24,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-27,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-28,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-29,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-30,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-03-31,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-03,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-04,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-05,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-06,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-07,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-10,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-11,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-12,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-13,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-14,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-17,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-18,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-19,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-20,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-21,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-24,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-25,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-26,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-27,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-04-28,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-02,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-03,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-04,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-08,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-09,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-10,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-11,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-12,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-15,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-16,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-17,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-18,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-19,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-22,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-23,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-24,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-25,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-26,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-30,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-31,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-01,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-02,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-05,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-07,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-08,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-09,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-12,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-13,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-14,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-15,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-16,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-19,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-20,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-21,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-22,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-23,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-26,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-27,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-28,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-29,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-30,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-03,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-04,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-05,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-06,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-07,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-10,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-11,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-12,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-13,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-14,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-17,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-18,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-19,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-20,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-21,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-24,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-25,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-26,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-27,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-28,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-07-31,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-01,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-02,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-03,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-04,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-07,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-08,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-09,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-10,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-11,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-14,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-16,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-17,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-18,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-21,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-22,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-23,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-24,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-25,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-28,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-29,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-30,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-08-31,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-01,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-04,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-05,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-06,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-07,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-08,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-11,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-12,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-13,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-14,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-15,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-18,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-19,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-20,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-21,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-22,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-25,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-26,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-09-27,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-04,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-05,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-06,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-10,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-11,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-12,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-13,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-16,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-17,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-18,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-19,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-20,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-23,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-24,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-25,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-26,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-27,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-30,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-10-31,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-01,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-02,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-03,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-06,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-07,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-08,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-09,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-10,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-13,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-14,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-15,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-16,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-17,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-20,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-21,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-22,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-23,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-24,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-27,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-28,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-29,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-11-30,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-01,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-04,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-05,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-06,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-07,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-08,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-11,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-12,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-13,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-14,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-15,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-18,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-19,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-20,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-21,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-22,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-26,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-27,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-12-28,17350.0,17350.0,17350.0,17350.0,69144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
